Step: 100000, Array size: 10000000
Step: 200000, Array size: 20000000
Step: 300000, Array size: 30000000
Step: 400000, Array size: 40000000
Step: 500000, Array size: 50000000
Step: 600000, Array size: 60000000
Step: 700000, Array size: 70000000
Step: 800000, Array size: 80000000
Step: 900000, Array size: 90000000
Step: 1000000, Array size: 100000000
Step: 1100000, Array size: 110000000
Step: 1200000, Array size: 120000000
Step: 1300000, Array size: 130000000
Step: 1400000, Array size: 140000000
Step: 1500000, Array size: 150000000
Step: 1600000, Array size: 160000000
Step: 1700000, Array size: 170000000
Step: 1800000, Array size: 180000000
Step: 1900000, Array size: 190000000
Step: 2000000, Array size: 200000000
Step: 2100000, Array size: 210000000
Step: 2200000, Array size: 220000000
